Word1,Word2,Predicted
admission,ticket,0.5246124863624573
alcohol,chemistry,0.581501305103302
aluminum,metal,0.6351553201675415
announcement,effort,0.2925630211830139
announcement,news,0.7200791835784912
announcement,production,0.3553580045700073
announcement,warning,0.4862401485443115
architecture,century,0.3158223032951355
arrival,hotel,0.5672555565834045
atmosphere,landscape,0.6208361983299255
attempt,peace,0.41321420669555664
baby,mother,0.6656451225280762
bank,money,0.22096222639083862
baseball,season,0.4967055320739746
bed,closet,0.7050216794013977
bird,cock,0.5705420970916748
bird,crane,0.5716870427131653
bishop,rabbi,0.5672619342803955
board,recommendation,0.5352373719215393
book,library,0.36753329634666443
book,paper,0.46810951828956604
boy,lad,0.5516439080238342
bread,butter,0.7700283527374268
brother,monk,0.6425702571868896
calculation,computation,0.45321065187454224
canyon,landscape,0.5665612816810608
car,automobile,0.4538426697254181
car,flight,0.5972695350646973
cell,phone,0.23724612593650818
century,nation,0.5218770503997803
century,year,0.5234230756759644
championship,tournament,0.5654370188713074
change,attitude,0.4945489466190338
chord,smile,0.5544238090515137
closet,clothes,0.4842272102832794
coast,forest,0.6362934708595276
coast,hill,0.6820714473724365
coast,shore,0.6173700094223022
company,stock,0.5982329249382019
competition,price,0.525909960269928
computer,laboratory,0.43925291299819946
computer,news,0.4257901608943939
consumer,confidence,0.3275740444660187
consumer,energy,0.508299708366394
country,citizen,0.45227041840553284
credit,card,0.5500450134277344
credit,information,0.5808109045028687
cup,article,0.47376397252082825
cup,coffee,0.6689856052398682
cup,drink,0.5311987400054932
cup,entity,0.38639187812805176
cup,food,0.3553899824619293
cup,liquid,0.47393137216567993
cup,object,0.17750731110572815
cup,substance,0.3551708459854126
currency,market,0.5689393877983093
day,dawn,0.46104860305786133
day,summer,0.5584816336631775
death,row,0.25636738538742065
delay,news,0.47443848848342896
development,issue,0.5303629636764526
direction,combination,0.48914337158203125
disability,death,0.3121359646320343
disaster,area,0.3501957952976227
discovery,space,0.29261764883995056
dividend,calculation,0.43323764204978943
dividend,payment,0.5463444590568542
doctor,liability,0.47838354110717773
doctor,nurse,0.4644726514816284
doctor,personnel,0.3596624433994293
dollar,buck,0.3514243960380554
dollar,loss,0.4783007502555847
dollar,profit,0.4301222860813141
drink,car,0.558702290058136
drink,ear,0.5745519995689392
drink,eat,0.6112371683120728
drink,mother,0.59181809425354
drink,mouth,0.514096736907959
drug,abuse,0.45484668016433716
energy,crisis,0.5264447331428528
energy,laboratory,0.4897077977657318
energy,secretary,0.38082584738731384
equipment,maker,0.4657716453075409
experience,music,0.5536342859268188
family,planning,0.4489419162273407
FBI,fingerprint,0.5441142916679382
FBI,investigation,0.48442748188972473
fertility,egg,0.37543174624443054
five,month,0.5299853086471558
focus,life,0.5516079068183899
food,fruit,0.4567127823829651
food,preparation,0.6655650734901428
football,basketball,0.6271082758903503
football,tennis,0.7084388136863708
forest,graveyard,0.5002425909042358
furnace,stove,0.5753026008605957
game,defeat,0.4754428267478943
game,round,0.6114411354064941
game,series,0.5659939646720886
game,team,0.5868516564369202
game,victory,0.5962719917297363
glass,metal,0.6705712080001831
government,crisis,0.4421546459197998
governor,interview,0.45815354585647583
governor,office,0.5461052060127258
grocery,money,0.26255276799201965
Harvard,Yale,0.717548131942749
holy,sex,0.429644912481308
hotel,reservation,0.5076034069061279
hundred,percent,0.5895363092422485
image,surface,0.47758519649505615
investigation,effort,0.4333048462867737
jaguar,car,0.6004374623298645
jaguar,cat,0.7110075354576111
Japanese,American,0.40695226192474365
Jerusalem,Israel,0.4512062668800354
journal,association,0.563120424747467
journey,car,0.5856567025184631
journey,voyage,0.6197778582572937
king,queen,0.6773347854614258
lad,brother,0.5223550200462341
law,lawyer,0.42572715878486633
lawyer,evidence,0.34503042697906494
liability,insurance,0.6550109386444092
life,death,0.4752711057662964
life,lesson,0.45305246114730835
life,term,0.3107670247554779
line,insurance,0.2832529544830322
liquid,water,0.5803874731063843
listing,category,0.6109144687652588
listing,proximity,0.6975604295730591
love,sex,0.4175405502319336
lover,quarrel,0.48280954360961914
luxury,car,0.5232182145118713
man,governor,0.4358070492744446
man,woman,0.8202740550041199
Mars,scientist,0.2948765754699707
Mars,water,0.38386887311935425
media,gain,0.4090125858783722
media,radio,0.49736881256103516
media,trading,0.5700997114181519
Mexico,Brazil,0.6069978475570679
midday,noon,0.6059744358062744
mile,kilometer,0.658278226852417
minister,party,0.6187365055084229
ministry,culture,0.6312721967697144
minority,peace,0.2819201648235321
money,bank,0.22096222639083862
money,cash,0.5849201083183289
money,cash,0.5849201083183289
money,currency,0.41832441091537476
money,deposit,0.3270367681980133
money,dollar,0.3789503276348114
money,laundering,0.3175167441368103
money,operation,0.3868061602115631
money,possession,0.5441156625747681
money,property,0.5073965787887573
money,wealth,0.3738378882408142
money,withdrawal,0.407535582780838
monk,slave,0.509800910949707
month,hotel,0.4688967168331146
morality,importance,0.5195990204811096
morality,marriage,0.4573788046836853
movie,critic,0.5320974588394165
movie,star,0.5656001567840576
movie,theater,0.5457169413566589
museum,theater,0.7060019969940186
music,project,0.4239547550678253
nature,environment,0.5652284622192383
nature,man,0.3950343728065491
network,hardware,0.4340798854827881
news,report,0.6121118664741516
noon,string,0.4850531220436096
observation,architecture,0.47802022099494934
oil,stock,0.5741965770721436
opera,industry,0.49196308851242065
opera,performance,0.4469762444496155
peace,atmosphere,0.32806622982025146
peace,insurance,0.43937045335769653
peace,plan,0.5399960875511169
phone,equipment,0.2516498565673828
physics,chemistry,0.6798702478408813
plane,car,0.5182603001594543
planet,moon,0.6724629402160645
planet,people,0.4493165910243988
planet,space,0.41082048416137695
planet,star,0.5005412101745605
planet,sun,0.48689404129981995
population,development,0.5954383611679077
possibility,girl,0.4147583544254303
practice,institution,0.5433063507080078
