Word1,Word2,Predicted
admission,ticket,-0.029746562242507935
alcohol,chemistry,0.18558290600776672
aluminum,metal,0.23529939353466034
announcement,effort,0.04130074754357338
announcement,news,0.26603102684020996
announcement,production,0.024860206991434097
announcement,warning,0.04562532901763916
architecture,century,-0.046223945915699005
arrival,hotel,0.19480369985103607
atmosphere,landscape,0.149428129196167
attempt,peace,0.014790683053433895
baby,mother,0.203872412443161
bank,money,0.0809117779135704
baseball,season,0.24060994386672974
bed,closet,0.30283981561660767
bird,cock,0.35405606031417847
bird,crane,0.08898922055959702
bishop,rabbi,0.19309264421463013
board,recommendation,0.32674092054367065
book,library,0.07657305151224136
book,paper,0.31350451707839966
boy,lad,0.22883185744285583
bread,butter,0.3278675079345703
brother,monk,-0.08125131577253342
calculation,computation,-0.06742468476295471
canyon,landscape,0.07062792032957077
car,automobile,0.08472663909196854
car,flight,0.14647887647151947
cell,phone,0.038395028561353683
century,nation,0.2040100246667862
century,year,0.09808512777090073
championship,tournament,-0.051158178597688675
change,attitude,0.0648331344127655
chord,smile,0.1585947871208191
closet,clothes,0.0889596939086914
coast,forest,-0.0044709015637636185
coast,hill,0.2901030480861664
coast,shore,0.31836792826652527
company,stock,0.2530421018600464
competition,price,0.15298579633235931
computer,laboratory,0.024187497794628143
computer,news,0.010673501528799534
consumer,confidence,0.03650214895606041
consumer,energy,0.10491275042295456
country,citizen,0.19123536348342896
credit,card,-0.0028196927160024643
credit,information,0.2007794976234436
cup,article,0.2004995197057724
cup,coffee,0.4467722773551941
cup,drink,0.35855329036712646
cup,entity,0.09031227976083755
cup,food,0.09241834282875061
cup,liquid,0.12866365909576416
cup,object,0.02064128965139389
cup,substance,0.08342628180980682
currency,market,0.14774557948112488
day,dawn,0.12029486149549484
day,summer,0.290945440530777
death,row,0.23778584599494934
delay,news,0.07539340853691101
development,issue,0.07643736898899078
direction,combination,0.03223605453968048
disability,death,-0.02680734544992447
disaster,area,0.06564484536647797
discovery,space,-0.06037062779068947
dividend,calculation,-0.12538930773735046
dividend,payment,0.06767541170120239
doctor,liability,0.0020475704222917557
doctor,nurse,0.06045085936784744
doctor,personnel,0.019245188683271408
dollar,buck,-0.016802575439214706
dollar,loss,0.11088767647743225
dollar,profit,0.1376732885837555
drink,car,0.20006166398525238
drink,ear,0.2661028206348419
drink,eat,0.10795339196920395
drink,mother,0.15324944257736206
drink,mouth,0.11494879424571991
drug,abuse,0.045384399592876434
energy,crisis,-0.07760757207870483
energy,laboratory,0.09091818332672119
energy,secretary,0.16202616691589355
equipment,maker,0.16518788039684296
experience,music,0.05448870360851288
family,planning,0.05568152293562889
FBI,fingerprint,0.07872014492750168
FBI,investigation,-0.012962356209754944
